,month,pe,mkt,smb,vmg,alpha,beta_mkt,beta_smb,beta_vmg,r_squared,r_squared_adj,t_alpha
38,2010-03,"[-0.0073156935850808, 0.0560787699514443, -0.0069871720926397, 0.0017338364239779, -0.0214949727466849, -0.0028484856218064, -0.0132788850337294, -0.0119017465284523, -0.0166445045285013, 0.0040553848771565]","[0.1535162491060753, 0.1734004019946289, -0.2043870795293113, 0.0511542107709733, 0.0863372822809532, 0.0816023651919649, 0.0297446311441074, -0.0798570762712709, 0.0236506194575866, 0.0200733038265801]","[-0.0380053551365634, -0.0718742578273867, 0.0700290498307535, -0.0061307359685849, 0.0410123606431124, 0.0652918254509563, 0.0047145019755575, 0.0632007918802313, 0.0443032683081705, 0.0241911500617126]","[0.0516487507436096, -0.1421515283955506, 0.036753210653119, 0.0341727029645552, -0.0118360056090305, -0.0433368812068614, 0.0127490473053749, -0.0191984097925261, -0.0196365484249612, 0.0109056441671542]",0.006005855589024294,-0.08679308653910739,-0.37004871776512155,-0.2583641625849786,0.8475057699642959,0.771258654946444,1.2678946899523593
39,2010-04,"[0.0560787699514443, -0.0069871720926397, 0.0017338364239779, -0.0214949727466849, -0.0028484856218064, -0.0132788850337294, -0.0119017465284523, -0.0166445045285013, 0.0040553848771565, -0.0065526850668459]","[0.1734004019946289, -0.2043870795293113, 0.0511542107709733, 0.0863372822809532, 0.0816023651919649, 0.0297446311441074, -0.0798570762712709, 0.0236506194575866, 0.0200733038265801, -0.0703145864930702]","[-0.0718742578273867, 0.0700290498307535, -0.0061307359685849, 0.0410123606431124, 0.0652918254509563, 0.0047145019755575, 0.0632007918802313, 0.0443032683081705, 0.0241911500617126, -0.0073610090685332]","[-0.1421515283955506, 0.036753210653119, 0.0341727029645552, -0.0118360056090305, -0.0433368812068614, 0.0127490473053749, -0.0191984097925261, -0.0196365484249612, 0.0109056441671542, -0.0203300849198383]",0.0010551331105543463,-0.03258161629818445,-0.27230739313792895,-0.22947699122821152,0.7446466617607019,0.6169699926410529,0.17829520155926687
40,2010-05,"[-0.0069871720926397, 0.0017338364239779, -0.0214949727466849, -0.0028484856218064, -0.0132788850337294, -0.0119017465284523, -0.0166445045285013, 0.0040553848771565, -0.0065526850668459, -0.0159619481053023]","[-0.2043870795293113, 0.0511542107709733, 0.0863372822809532, 0.0816023651919649, 0.0297446311441074, -0.0798570762712709, 0.0236506194575866, 0.0200733038265801, -0.0703145864930702, -0.0827524484614739]","[0.0700290498307535, -0.0061307359685849, 0.0410123606431124, 0.0652918254509563, 0.0047145019755575, 0.0632007918802313, 0.0443032683081705, 0.0241911500617126, -0.0073610090685332, 0.0027093223950597]","[0.036753210653119, 0.0341727029645552, -0.0118360056090305, -0.0433368812068614, 0.0127490473053749, -0.0191984097925261, -0.0196365484249612, 0.0109056441671542, -0.0203300849198383, -0.0239484786921718]",-0.007957033578171395,0.010780196110359259,-0.011206240463945583,0.1227887312585737,0.15251814293148036,-0.27122278560277957,-1.8563658556838893
41,2010-06,"[0.0017338364239779, -0.0214949727466849, -0.0028484856218064, -0.0132788850337294, -0.0119017465284523, -0.0166445045285013, 0.0040553848771565, -0.0065526850668459, -0.0159619481053023, -0.0124618835667336]","[0.0511542107709733, 0.0863372822809532, 0.0816023651919649, 0.0297446311441074, -0.0798570762712709, 0.0236506194575866, 0.0200733038265801, -0.0703145864930702, -0.0827524484614739, -0.0685336903530347]","[-0.0061307359685849, 0.0410123606431124, 0.0652918254509563, 0.0047145019755575, 0.0632007918802313, 0.0443032683081705, 0.0241911500617126, -0.0073610090685332, 0.0027093223950597, -0.0342110050283048]","[0.0341727029645552, -0.0118360056090305, -0.0433368812068614, 0.0127490473053749, -0.0191984097925261, -0.0196365484249612, 0.0109056441671542, -0.0203300849198383, -0.0239484786921718, 0.0056903817284994]",-0.00906603050012899,0.005598169029728813,0.03519550609975475,0.15520758707025828,0.14295397877819715,-0.2855690318327042,-2.4628072510032286
42,2010-07,"[-0.0214949727466849, -0.0028484856218064, -0.0132788850337294, -0.0119017465284523, -0.0166445045285013, 0.0040553848771565, -0.0065526850668459, -0.0159619481053023, -0.0124618835667336, 0.0062389195073019]","[0.0863372822809532, 0.0816023651919649, 0.0297446311441074, -0.0798570762712709, 0.0236506194575866, 0.0200733038265801, -0.0703145864930702, -0.0827524484614739, -0.0685336903530347, 0.1197637849548768]","[0.0410123606431124, 0.0652918254509563, 0.0047145019755575, 0.0632007918802313, 0.0443032683081705, 0.0241911500617126, -0.0073610090685332, 0.0027093223950597, -0.0342110050283048, 0.0439725631858542]","[-0.0118360056090305, -0.0433368812068614, 0.0127490473053749, -0.0191984097925261, -0.0196365484249612, 0.0109056441671542, -0.0203300849198383, -0.0239484786921718, 0.0056903817284994, 0.0021789308005409]",-0.008992303142315434,0.026564340224336035,0.045655943253734906,0.12952753679154455,0.15174609864850364,-0.2723808520272446,-2.047518289103554
43,2010-08,"[-0.0028484856218064, -0.0132788850337294, -0.0119017465284523, -0.0166445045285013, 0.0040553848771565, -0.0065526850668459, -0.0159619481053023, -0.0124618835667336, 0.0062389195073019, -0.0678823098683716]","[0.0816023651919649, 0.0297446311441074, -0.0798570762712709, 0.0236506194575866, 0.0200733038265801, -0.0703145864930702, -0.0827524484614739, -0.0685336903530347, 0.1197637849548768, 0.0297790746179019]","[0.0652918254509563, 0.0047145019755575, 0.0632007918802313, 0.0443032683081705, 0.0241911500617126, -0.0073610090685332, 0.0027093223950597, -0.0342110050283048, 0.0439725631858542, 0.0581958870545581]","[-0.0433368812068614, 0.0127490473053749, -0.0191984097925261, -0.0196365484249612, 0.0109056441671542, -0.0203300849198383, -0.0239484786921718, 0.0056903817284994, 0.0021789308005409, -0.0593250775332789]",-0.0069216873521838265,-0.000573061663135796,0.1435576816475464,0.6875998678768539,0.47685211224787505,0.21527816837181257,-0.8595093615813728
44,2010-09,"[-0.0132788850337294, -0.0119017465284523, -0.0166445045285013, 0.0040553848771565, -0.0065526850668459, -0.0159619481053023, -0.0124618835667336, 0.0062389195073019, -0.0678823098683716, -0.0413580815043817]","[0.0297446311441074, -0.0798570762712709, 0.0236506194575866, 0.0200733038265801, -0.0703145864930702, -0.0827524484614739, -0.0685336903530347, 0.1197637849548768, 0.0297790746179019, 0.0159522342298555]","[0.0047145019755575, 0.0632007918802313, 0.0443032683081705, 0.0241911500617126, -0.0073610090685332, 0.0027093223950597, -0.0342110050283048, 0.0439725631858542, 0.0581958870545581, -0.0453973921733548]","[0.0127490473053749, -0.0191984097925261, -0.0196365484249612, 0.0109056441671542, -0.0203300849198383, -0.0239484786921718, 0.0056903817284994, 0.0021789308005409, -0.0593250775332789, -0.0776514235405572]",-0.005171611300409549,-0.005191809297389896,-0.06331755259448031,0.60766537974364,0.6767419842009879,0.5151129763014818,-0.8073954494514733
45,2010-10,"[-0.0119017465284523, -0.0166445045285013, 0.0040553848771565, -0.0065526850668459, -0.0159619481053023, -0.0124618835667336, 0.0062389195073019, -0.0678823098683716, -0.0413580815043817, -0.0116715743473897]","[-0.0798570762712709, 0.0236506194575866, 0.0200733038265801, -0.0703145864930702, -0.0827524484614739, -0.0685336903530347, 0.1197637849548768, 0.0297790746179019, 0.0159522342298555, 0.1392805844417868]","[0.0632007918802313, 0.0443032683081705, 0.0241911500617126, -0.0073610090685332, 0.0027093223950597, -0.0342110050283048, 0.0439725631858542, 0.0581958870545581, -0.0453973921733548, -0.0650114479221949]","[-0.0191984097925261, -0.0196365484249612, 0.0109056441671542, -0.0203300849198383, -0.0239484786921718, 0.0056903817284994, 0.0021789308005409, -0.0593250775332789, -0.0776514235405572, -0.0267261556918008]",-0.0008299064132526372,0.015370688724295225,-0.09582769141072783,0.6948663059220341,0.7543501349683859,0.6315252024525788,-0.14384450368005425
46,2010-11,"[-0.0166445045285013, 0.0040553848771565, -0.0065526850668459, -0.0159619481053023, -0.0124618835667336, 0.0062389195073019, -0.0678823098683716, -0.0413580815043817, -0.0116715743473897, -0.0536958399808736]","[0.0236506194575866, 0.0200733038265801, -0.0703145864930702, -0.0827524484614739, -0.0685336903530347, 0.1197637849548768, 0.0297790746179019, 0.0159522342298555, 0.1392805844417868, -0.0294693687756672]","[0.0443032683081705, 0.0241911500617126, -0.0073610090685332, 0.0027093223950597, -0.0342110050283048, 0.0439725631858542, 0.0581958870545581, -0.0453973921733548, -0.0650114479221949, 0.017687618381935]","[-0.0196365484249612, 0.0109056441671542, -0.0203300849198383, -0.0239484786921718, 0.0056903817284994, 0.0021789308005409, -0.0593250775332789, -0.0776514235405572, -0.0267261556918008, -0.0673876037770557]",-0.0018866449504909705,0.0348420621494629,-0.13711273766782495,0.7063106894896369,0.8300282178254844,0.7450423267382267,-0.3441687916850108
47,2010-12,"[0.0040553848771565, -0.0065526850668459, -0.0159619481053023, -0.0124618835667336, 0.0062389195073019, -0.0678823098683716, -0.0413580815043817, -0.0116715743473897, -0.0536958399808736, -0.003139862791862]","[0.0200733038265801, -0.0703145864930702, -0.0827524484614739, -0.0685336903530347, 0.1197637849548768, 0.0297790746179019, 0.0159522342298555, 0.1392805844417868, -0.0294693687756672, -0.0012584666626494]","[0.0241911500617126, -0.0073610090685332, 0.0027093223950597, -0.0342110050283048, 0.0439725631858542, 0.0581958870545581, -0.0453973921733548, -0.0650114479221949, 0.017687618381935, -0.0394267807097702]","[0.0109056441671542, -0.0203300849198383, -0.0239484786921718, 0.0056903817284994, 0.0021789308005409, -0.0593250775332789, -0.0776514235405572, -0.0267261556918008, -0.0673876037770557, -0.0021032461633285]",-0.003261666996816375,0.03451383050483333,-0.13953909997069874,0.6901767837837649,0.8395513089699506,0.7593269634549258,-0.6273301581571877
48,2011-01,"[-0.0065526850668459, -0.0159619481053023, -0.0124618835667336, 0.0062389195073019, -0.0678823098683716, -0.0413580815043817, -0.0116715743473897, -0.0536958399808736, -0.003139862791862, 0.0118620637913692]","[-0.0703145864930702, -0.0827524484614739, -0.0685336903530347, 0.1197637849548768, 0.0297790746179019, 0.0159522342298555, 0.1392805844417868, -0.0294693687756672, -0.0012584666626494, -0.0170471405665267]","[-0.0073610090685332, 0.0027093223950597, -0.0342110050283048, 0.0439725631858542, 0.0581958870545581, -0.0453973921733548, -0.0650114479221949, 0.017687618381935, -0.0394267807097702, -0.0533237323459878]","[-0.0203300849198383, -0.0239484786921718, 0.0056903817284994, 0.0021789308005409, -0.0593250775332789, -0.0776514235405572, -0.0267261556918008, -0.0673876037770557, -0.0021032461633285, 0.0285337499446909]",-0.005989900395978666,0.03684253536603794,-0.13012519107399345,0.6302149547704078,0.8411503388044907,0.7617255082067361,-1.0949211322144121
49,2011-02,"[-0.0159619481053023, -0.0124618835667336, 0.0062389195073019, -0.0678823098683716, -0.0413580815043817, -0.0116715743473897, -0.0536958399808736, -0.003139862791862, 0.0118620637913692, -0.0687487980047306]","[-0.0827524484614739, -0.0685336903530347, 0.1197637849548768, 0.0297790746179019, 0.0159522342298555, 0.1392805844417868, -0.0294693687756672, -0.0012584666626494, -0.0170471405665267, 0.0512163024710609]","[0.0027093223950597, -0.0342110050283048, 0.0439725631858542, 0.0581958870545581, -0.0453973921733548, -0.0650114479221949, 0.017687618381935, -0.0394267807097702, -0.0533237323459878, 0.0435673719250358]","[-0.0239484786921718, 0.0056903817284994, 0.0021789308005409, -0.0593250775332789, -0.0776514235405572, -0.0267261556918008, -0.0673876037770557, -0.0021032461633285, 0.0285337499446909, -0.0600841358122654]",-0.009341028231797978,0.05059658686071515,-0.1811999515823702,0.6561336108834168,0.8712397295981131,0.8068595943971697,-1.6068784271942647
50,2011-03,"[-0.0124618835667336, 0.0062389195073019, -0.0678823098683716, -0.0413580815043817, -0.0116715743473897, -0.0536958399808736, -0.003139862791862, 0.0118620637913692, -0.0687487980047306, -0.0003314065657906]","[-0.0685336903530347, 0.1197637849548768, 0.0297790746179019, 0.0159522342298555, 0.1392805844417868, -0.0294693687756672, -0.0012584666626494, -0.0170471405665267, 0.0512163024710609, 0.0018762214013187]","[-0.0342110050283048, 0.0439725631858542, 0.0581958870545581, -0.0453973921733548, -0.0650114479221949, 0.017687618381935, -0.0394267807097702, -0.0533237323459878, 0.0435673719250358, -0.0060687513420522]","[0.0056903817284994, 0.0021789308005409, -0.0593250775332789, -0.0776514235405572, -0.0267261556918008, -0.0673876037770557, -0.0021032461633285, 0.0285337499446909, -0.0600841358122654, 0.0181549556270476]",-0.012647966936700297,0.09374770902443721,-0.20279937648769453,0.6433567629257354,0.9114172462790643,0.8671258694185964,-2.692174896608707
51,2011-04,"[0.0062389195073019, -0.0678823098683716, -0.0413580815043817, -0.0116715743473897, -0.0536958399808736, -0.003139862791862, 0.0118620637913692, -0.0687487980047306, -0.0003314065657906, 0.0063625687104747]","[0.1197637849548768, 0.0297790746179019, 0.0159522342298555, 0.1392805844417868, -0.0294693687756672, -0.0012584666626494, -0.0170471405665267, 0.0512163024710609, 0.0018762214013187, -0.0094263276251946]","[0.0439725631858542, 0.0581958870545581, -0.0453973921733548, -0.0650114479221949, 0.017687618381935, -0.0394267807097702, -0.0533237323459878, 0.0435673719250358, -0.0060687513420522, -0.0127145112430134]","[0.0021789308005409, -0.0593250775332789, -0.0776514235405572, -0.0267261556918008, -0.0673876037770557, -0.0021032461633285, 0.0285337499446909, -0.0600841358122654, 0.0181549556270476, 0.0334105817870238]",-0.012691203674820838,0.08577247095555132,-0.2096919260671345,0.6327610896885,0.918824082429883,0.8782361236448245,-2.7841617577156605
52,2011-05,"[-0.0678823098683716, -0.0413580815043817, -0.0116715743473897, -0.0536958399808736, -0.003139862791862, 0.0118620637913692, -0.0687487980047306, -0.0003314065657906, 0.0063625687104747, -0.0047928163887988]","[0.0297790746179019, 0.0159522342298555, 0.1392805844417868, -0.0294693687756672, -0.0012584666626494, -0.0170471405665267, 0.0512163024710609, 0.0018762214013187, -0.0094263276251946, -0.0602184055881143]","[0.0581958870545581, -0.0453973921733548, -0.0650114479221949, 0.017687618381935, -0.0394267807097702, -0.0533237323459878, 0.0435673719250358, -0.0060687513420522, -0.0127145112430134, -0.0184300844014336]","[-0.0593250775332789, -0.0776514235405572, -0.0267261556918008, -0.0673876037770557, -0.0021032461633285, 0.0285337499446909, -0.0600841358122654, 0.0181549556270476, 0.0334105817870238, 0.0069885428530151]",-0.01641193835731497,-0.03620199037098069,-0.3433903090749483,0.5161798618892888,0.9908552484195655,0.9862828726293482,-11.20786181918644
53,2011-06,"[-0.0413580815043817, -0.0116715743473897, -0.0536958399808736, -0.003139862791862, 0.0118620637913692, -0.0687487980047306, -0.0003314065657906, 0.0063625687104747, -0.0047928163887988, -0.0122022985113163]","[0.0159522342298555, 0.1392805844417868, -0.0294693687756672, -0.0012584666626494, -0.0170471405665267, 0.0512163024710609, 0.0018762214013187, -0.0094263276251946, -0.0602184055881143, 0.0284122834177518]","[-0.0453973921733548, -0.0650114479221949, 0.017687618381935, -0.0394267807097702, -0.0533237323459878, 0.0435673719250358, -0.0060687513420522, -0.0127145112430134, -0.0184300844014336, 0.0029278084307844]","[-0.0776514235405572, -0.0267261556918008, -0.0673876037770557, -0.0021032461633285, 0.0285337499446909, -0.0600841358122654, 0.0181549556270476, 0.0334105817870238, 0.0069885428530151, -0.0137307011251831]",-0.014355692426845071,-0.018927991853935115,-0.3060632942366338,0.5344232475991084,0.9659001164401186,0.948850174660178,-5.705425047546056
54,2011-07,"[-0.0116715743473897, -0.0536958399808736, -0.003139862791862, 0.0118620637913692, -0.0687487980047306, -0.0003314065657906, 0.0063625687104747, -0.0047928163887988, -0.0122022985113163, -0.0312046285914096]","[0.1392805844417868, -0.0294693687756672, -0.0012584666626494, -0.0170471405665267, 0.0512163024710609, 0.0018762214013187, -0.0094263276251946, -0.0602184055881143, 0.0284122834177518, -0.0039976663460299]","[-0.0650114479221949, 0.017687618381935, -0.0394267807097702, -0.0533237323459878, 0.0435673719250358, -0.0060687513420522, -0.0127145112430134, -0.0184300844014336, 0.0029278084307844, 0.0385175825309732]","[-0.0267261556918008, -0.0673876037770557, -0.0021032461633285, 0.0285337499446909, -0.0600841358122654, 0.0181549556270476, 0.0334105817870238, 0.0069885428530151, -0.0137307011251831, -0.0054610939327235]",-0.01468387257537614,-0.017893037559777468,-0.3101888033139245,0.538074352993924,0.9633875394560519,0.945081309184078,-6.628068115343404
55,2011-08,"[-0.0536958399808736, -0.003139862791862, 0.0118620637913692, -0.0687487980047306, -0.0003314065657906, 0.0063625687104747, -0.0047928163887988, -0.0122022985113163, -0.0312046285914096, -0.0060704229950113]","[-0.0294693687756672, -0.0012584666626494, -0.0170471405665267, 0.0512163024710609, 0.0018762214013187, -0.0094263276251946, -0.0602184055881143, 0.0284122834177518, -0.0039976663460299, -0.0425925306131468]","[0.017687618381935, -0.0394267807097702, -0.0533237323459878, 0.0435673719250358, -0.0060687513420522, -0.0127145112430134, -0.0184300844014336, 0.0029278084307844, 0.0385175825309732, 0.016120360123504]","[-0.0673876037770557, -0.0021032461633285, 0.0285337499446909, -0.0600841358122654, 0.0181549556270476, 0.0334105817870238, 0.0069885428530151, -0.0137307011251831, -0.0054610939327235, -0.0017956116762498]",-0.013505907457961448,-0.07522960202506344,-0.24686945478220146,0.5649521137771645,0.9433336641230632,0.9150004961845948,-5.058820856918535
56,2011-09,"[-0.003139862791862, 0.0118620637913692, -0.0687487980047306, -0.0003314065657906, 0.0063625687104747, -0.0047928163887988, -0.0122022985113163, -0.0312046285914096, -0.0060704229950113, -0.0028143703968044]","[-0.0012584666626494, -0.0170471405665267, 0.0512163024710609, 0.0018762214013187, -0.0094263276251946, -0.0602184055881143, 0.0284122834177518, -0.0039976663460299, -0.0425925306131468, -0.0880814772049923]","[-0.0394267807097702, -0.0533237323459878, 0.0435673719250358, -0.0060687513420522, -0.0127145112430134, -0.0184300844014336, 0.0029278084307844, 0.0385175825309732, 0.016120360123504, -0.0424413908031895]","[-0.0021032461633285, 0.0285337499446909, -0.0600841358122654, 0.0181549556270476, 0.0334105817870238, 0.0069885428530151, -0.0137307011251831, -0.0054610939327235, -0.0017956116762498, 0.0060292754813939]",-0.013535820751911464,-0.019683049109661323,-0.21385158407610727,0.6295274457474093,0.9182665973842616,0.8773998960763925,-4.820801058962155
57,2011-10,"[0.0118620637913692, -0.0687487980047306, -0.0003314065657906, 0.0063625687104747, -0.0047928163887988, -0.0122022985113163, -0.0312046285914096, -0.0060704229950113, -0.0028143703968044, -0.0139687060757023]","[-0.0170471405665267, 0.0512163024710609, 0.0018762214013187, -0.0094263276251946, -0.0602184055881143, 0.0284122834177518, -0.0039976663460299, -0.0425925306131468, -0.0880814772049923, 0.0457046027265739]","[-0.0533237323459878, 0.0435673719250358, -0.0060687513420522, -0.0127145112430134, -0.0184300844014336, 0.0029278084307844, 0.0385175825309732, 0.016120360123504, -0.0424413908031895, 0.0043456277727204]","[0.0285337499446909, -0.0600841358122654, 0.0181549556270476, 0.0334105817870238, 0.0069885428530151, -0.0137307011251831, -0.0054610939327235, -0.0017956116762498, 0.0060292754813939, -0.0024471570775896]",-0.013480473762149808,-0.01645877842141201,-0.18250298010078686,0.6592219292230853,0.9185582422166029,0.8778373633249044,-5.138869580768901
58,2011-11,"[-0.0687487980047306, -0.0003314065657906, 0.0063625687104747, -0.0047928163887988, -0.0122022985113163, -0.0312046285914096, -0.0060704229950113, -0.0028143703968044, -0.0139687060757023, -0.0343854303887135]","[0.0512163024710609, 0.0018762214013187, -0.0094263276251946, -0.0602184055881143, 0.0284122834177518, -0.0039976663460299, -0.0425925306131468, -0.0880814772049923, 0.0457046027265739, -0.050288234149147]","[0.0435673719250358, -0.0060687513420522, -0.0127145112430134, -0.0184300844014336, 0.0029278084307844, 0.0385175825309732, 0.016120360123504, -0.0424413908031895, 0.0043456277727204, 0.0029870547054678]","[-0.0600841358122654, 0.0181549556270476, 0.0334105817870238, 0.0069885428530151, -0.0137307011251831, -0.0054610939327235, -0.0017956116762498, 0.0060292754813939, -0.0024471570775896, -0.0281809061076592]",-0.012853210941746868,0.009203143091843113,-0.2378216085765657,0.6706787741356226,0.9176588894570358,0.8764883341855536,-4.628998911511265
59,2011-12,"[-0.0003314065657906, 0.0063625687104747, -0.0047928163887988, -0.0122022985113163, -0.0312046285914096, -0.0060704229950113, -0.0028143703968044, -0.0139687060757023, -0.0343854303887135, 0.0182469278369931]","[0.0018762214013187, -0.0094263276251946, -0.0602184055881143, 0.0284122834177518, -0.0039976663460299, -0.0425925306131468, -0.0880814772049923, 0.0457046027265739, -0.050288234149147, -0.0638587996997036]","[-0.0060687513420522, -0.0127145112430134, -0.0184300844014336, 0.0029278084307844, 0.0385175825309732, 0.016120360123504, -0.0424413908031895, 0.0043456277727204, 0.0029870547054678, -0.0811000868578834]","[0.0181549556270476, 0.0334105817870238, 0.0069885428530151, -0.0137307011251831, -0.0054610939327235, -0.0017956116762498, 0.0060292754813939, -0.0024471570775896, -0.0281809061076592, 0.0393512625133016]",-0.01180175672680503,0.03176947047404917,-0.18575872062818738,0.5113611036206615,0.8677591547150962,0.8016387320726444,-4.438045657508873
60,2012-01,"[0.0063625687104747, -0.0047928163887988, -0.0122022985113163, -0.0312046285914096, -0.0060704229950113, -0.0028143703968044, -0.0139687060757023, -0.0343854303887135, 0.0182469278369931, 0.0163583920459383]","[-0.0094263276251946, -0.0602184055881143, 0.0284122834177518, -0.0039976663460299, -0.0425925306131468, -0.0880814772049923, 0.0457046027265739, -0.050288234149147, -0.0638587996997036, 0.0324914727599411]","[-0.0127145112430134, -0.0184300844014336, 0.0029278084307844, 0.0385175825309732, 0.016120360123504, -0.0424413908031895, 0.0043456277727204, 0.0029870547054678, -0.0811000868578834, -0.0418282032056679]","[0.0334105817870238, 0.0069885428530151, -0.0137307011251831, -0.0054610939327235, -0.0017956116762498, 0.0060292754813939, -0.0024471570775896, -0.0281809061076592, 0.0393512625133016, 0.0309394047527593]",-0.011488110287538926,0.04496565664640294,-0.20257682917837122,0.5110961939368567,0.8894740122958334,0.8342110184437501,-4.409348928329329
61,2012-02,"[-0.0047928163887988, -0.0122022985113163, -0.0312046285914096, -0.0060704229950113, -0.0028143703968044, -0.0139687060757023, -0.0343854303887135, 0.0182469278369931, 0.0163583920459383, -0.009698690663181]","[-0.0602184055881143, 0.0284122834177518, -0.0039976663460299, -0.0425925306131468, -0.0880814772049923, 0.0457046027265739, -0.050288234149147, -0.0638587996997036, 0.0324914727599411, 0.0757163352504779]","[-0.0184300844014336, 0.0029278084307844, 0.0385175825309732, 0.016120360123504, -0.0424413908031895, 0.0043456277727204, 0.0029870547054678, -0.0811000868578834, -0.0418282032056679, 0.0539296761091385]","[0.0069885428530151, -0.0137307011251831, -0.0054610939327235, -0.0017956116762498, 0.0060292754813939, -0.0024471570775896, -0.0281809061076592, 0.0393512625133016, 0.0309394047527593, -0.0430203093537672]",-0.007867735963142332,0.12634483302619354,-0.2641331002438704,0.26541113231377167,0.7094054476809113,0.5641081715213669,-2.0383550388721803
62,2012-03,"[-0.0122022985113163, -0.0312046285914096, -0.0060704229950113, -0.0028143703968044, -0.0139687060757023, -0.0343854303887135, 0.0182469278369931, 0.0163583920459383, -0.009698690663181, 0.0043908032829492]","[0.0284122834177518, -0.0039976663460299, -0.0425925306131468, -0.0880814772049923, 0.0457046027265739, -0.050288234149147, -0.0638587996997036, 0.0324914727599411, 0.0757163352504779, -0.0657661248740671]","[0.0029278084307844, 0.0385175825309732, 0.016120360123504, -0.0424413908031895, 0.0043456277727204, 0.0029870547054678, -0.0811000868578834, -0.0418282032056679, 0.0539296761091385, -0.003737423878868]","[-0.0137307011251831, -0.0054610939327235, -0.0017956116762498, 0.0060292754813939, -0.0024471570775896, -0.0281809061076592, 0.0393512625133016, 0.0309394047527593, -0.0430203093537672, 0.0224408277022655]",-0.006804271973762536,0.1006086259492273,-0.16506467700587066,0.4124905853977501,0.6875126553687485,0.5312689830531228,-1.7242143288889409
63,2012-04,"[-0.0312046285914096, -0.0060704229950113, -0.0028143703968044, -0.0139687060757023, -0.0343854303887135, 0.0182469278369931, 0.0163583920459383, -0.009698690663181, 0.0043908032829492, -0.0035354171276744]","[-0.0039976663460299, -0.0425925306131468, -0.0880814772049923, 0.0457046027265739, -0.050288234149147, -0.0638587996997036, 0.0324914727599411, 0.0757163352504779, -0.0657661248740671, 0.0596546964932901]","[0.0385175825309732, 0.016120360123504, -0.0424413908031895, 0.0043456277727204, 0.0029870547054678, -0.0811000868578834, -0.0418282032056679, 0.0539296761091385, -0.003737423878868, 0.0108118380283855]","[-0.0054610939327235, -0.0017956116762498, 0.0060292754813939, -0.0024471570775896, -0.0281809061076592, 0.0393512625133016, 0.0309394047527593, -0.0430203093537672, 0.0224408277022655, -0.0010649848787565]",-0.006634968674628734,0.10258985082056682,-0.17326591597934649,0.39819254690104905,0.6869990776953216,0.5304986165429825,-1.7301032087119168
64,2012-05,"[-0.0060704229950113, -0.0028143703968044, -0.0139687060757023, -0.0343854303887135, 0.0182469278369931, 0.0163583920459383, -0.009698690663181, 0.0043908032829492, -0.0035354171276744, -0.0298514506974463]","[-0.0425925306131468, -0.0880814772049923, 0.0457046027265739, -0.050288234149147, -0.0638587996997036, 0.0324914727599411, 0.0757163352504779, -0.0657661248740671, 0.0596546964932901, 0.0061891544677522]","[0.016120360123504, -0.0424413908031895, 0.0043456277727204, 0.0029870547054678, -0.0811000868578834, -0.0418282032056679, 0.0539296761091385, -0.003737423878868, 0.0108118380283855, 0.0152684484328002]","[-0.0017956116762498, 0.0060292754813939, -0.0024471570775896, -0.0281809061076592, 0.0393512625133016, 0.0309394047527593, -0.0430203093537672, 0.0224408277022655, -0.0010649848787565, -0.012412576666212]",-0.006139911404579262,0.07405052617756958,-0.014664481933291292,0.5929520501712658,0.6985097194420471,0.5477645791630706,-1.6175819311630533
65,2012-06,"[-0.0028143703968044, -0.0139687060757023, -0.0343854303887135, 0.0182469278369931, 0.0163583920459383, -0.009698690663181, 0.0043908032829492, -0.0035354171276744, -0.0298514506974463, -0.0051802661103493]","[-0.0880814772049923, 0.0457046027265739, -0.050288234149147, -0.0638587996997036, 0.0324914727599411, 0.0757163352504779, -0.0657661248740671, 0.0596546964932901, 0.0061891544677522, -0.0434141683171774]","[-0.0424413908031895, 0.0043456277727204, 0.0029870547054678, -0.0811000868578834, -0.0418282032056679, 0.0539296761091385, -0.003737423878868, 0.0108118380283855, 0.0152684484328002, -0.0265131507315314]","[0.0060292754813939, -0.0024471570775896, -0.0281809061076592, 0.0393512625133016, 0.0309394047527593, -0.0430203093537672, 0.0224408277022655, -0.0010649848787565, -0.012412576666212, 0.0320156021690937]",-0.008480315257385535,0.11353416778177462,-0.15723687544360576,0.4065344329718752,0.6653702404682784,0.4980553607024176,-2.0800806730346864
66,2012-07,"[-0.0139687060757023, -0.0343854303887135, 0.0182469278369931, 0.0163583920459383, -0.009698690663181, 0.0043908032829492, -0.0035354171276744, -0.0298514506974463, -0.0051802661103493, -0.0304548418912841]","[0.0457046027265739, -0.050288234149147, -0.0638587996997036, 0.0324914727599411, 0.0757163352504779, -0.0657661248740671, 0.0596546964932901, 0.0061891544677522, -0.0434141683171774, -0.0523444174130905]","[0.0043456277727204, 0.0029870547054678, -0.0811000868578834, -0.0418282032056679, 0.0539296761091385, -0.003737423878868, 0.0108118380283855, 0.0152684484328002, -0.0265131507315314, -0.0301846992317068]","[-0.0024471570775896, -0.0281809061076592, 0.0393512625133016, 0.0309394047527593, -0.0430203093537672, 0.0224408277022655, -0.0010649848787565, -0.012412576666212, 0.0320156021690937, 0.0365615454865105]",-0.012021030095881128,0.1861191038552547,-0.276212774211521,0.21590417292282688,0.46506910426057224,0.1976036563908583,-2.169899743899793
